Comparison Type,Transformation Type,Step,Average_SSIM_DINO,MMD_ViT,MMD_BLIP2,Wasserstein_Distance_BLIP2,Average_Cosine_Similarity_BLIP2
ImageNet-100 vs Non-Resale Data,non-resale,17,0.1161089806069747,0.0047305822372436,0.0039311647415161,39.08900865157444,0.74863714
ImageNet-100 vs Non-Resale Data,non-resale,18,0.1051969134412307,0.0073368549346923,0.0075131654739379,39.94348922119924,0.7417555
ImageNet-100 vs Non-Resale Data,non-resale,19,0.1051342895931679,0.0068949460983276,0.0092270374298095,39.92144902681046,0.7536716
ImageNet-100 vs Non-Resale Data,non-resale,2,0.1001064403766728,0.0060541629791259,0.0053733587265014,39.881255357486694,0.75438577
ImageNet-100 vs Non-Resale Data,non-resale,20,0.1092169573791601,0.0084781646728515,0.009877324104309,39.52634245568131,0.7492524
ImageNet-100 vs Non-Resale Data,non-resale,21,0.0962383098565168,0.0039031505584716,0.0035357475280761,39.39524806956653,0.75932217
ImageNet-100 vs Non-Resale Data,non-resale,22,0.1073071952223482,0.0043236017227172,0.0040524005889892,38.88451063740012,0.7488817
ImageNet-100 vs Non-Resale Data,non-resale,23,0.1054076506446466,0.0056511163711547,0.0038959980010986,38.81658854283777,0.7618852
ImageNet-100 vs Non-Resale Data,non-resale,24,0.1112100551613373,0.0047160387039184,0.0045195817947387,39.12453713869808,0.75823295
ImageNet-100 vs Non-Resale Data,non-resale,25,0.099406942980106,0.0046387910842895,0.003412127494812,39.36244365692139,0.754206
ImageNet-100 vs Non-Resale Data,non-resale,26,0.10598597162042,0.0067155361175537,0.0057663917541503,39.09463530858357,0.74145025
ImageNet-100 vs Non-Resale Data,non-resale,27,0.1061284886842659,0.0040913820266723,0.0033626556396484,38.79034395060587,0.7602268
ImageNet-100 vs Non-Resale Data,non-resale,28,0.1133897255645676,0.0072842836380004,0.0089741945266723,39.444947679500366,0.73418635
ImageNet-100 vs Non-Resale Data,non-resale,29,0.0978396241625222,0.0054794549942016,0.0039396286010742,39.083062553307435,0.76030827
ImageNet-100 vs Non-Resale Data,non-resale,3,0.1024062629250927,0.0059268474578857,0.0067609548568725,39.84594827752362,0.74904877
ImageNet-100 vs Non-Resale Data,non-resale,30,0.1266868831842277,0.0026521682739257,0.003616452217102,39.523348550212624,0.75170213
ImageNet-100 vs Non-Resale Data,non-resale,31,0.1140785930116518,0.0042307376861572,0.0045932531356811,39.60553822153617,0.7510787
ImageNet-100 vs Non-Resale Data,non-resale,32,0.10552526460445,0.0049697160720825,0.005486249923706,39.766615388769864,0.75045747
ImageNet-100 vs Non-Resale Data,non-resale,33,0.1037463041340456,0.0048563480377197,0.0037451982498168,39.067768478393546,0.7565595
ImageNet-100 vs Non-Resale Data,non-resale,34,0.1081078916429055,0.0035873651504516,0.0034233331680297,38.46312024831772,0.7550314
ImageNet-100 vs Non-Resale Data,non-resale,35,0.1001609721028458,0.0044938325881958,0.0042245388031005,39.41459079431029,0.7572643
ImageNet-100 vs Non-Resale Data,non-resale,36,0.1190717910372134,0.0045427083969116,0.0041462182998657,39.54535553332453,0.7560312
ImageNet-100 vs Non-Resale Data,non-resale,37,0.1077592233606089,0.0044679641723632,0.0047047138214111,39.03895034779781,0.7535353
ImageNet-100 vs Non-Resale Data,non-resale,38,0.1047431982876527,0.0050647258758544,0.0034607648849487,39.63117013533906,0.7582878
ImageNet-100 vs Non-Resale Data,non-resale,39,0.0996114059437544,0.0062317848205566,0.004583716392517,39.883620834350545,0.7674488
ImageNet-100 vs Non-Resale Data,non-resale,4,0.1048273170075522,0.0044507980346679,0.0036779642105102,38.69677035967507,0.74834704
ImageNet-100 vs Non-Resale Data,non-resale,40,0.1142060602260387,0.0051449537277221,0.0030715465545654,39.14720415602338,0.76433384
ImageNet-100 vs Non-Resale Data,non-resale,41,0.1044588051665409,0.0056113004684448,0.0044353008270263,39.66158711180395,0.75707597
ImageNet-100 vs Non-Resale Data,non-resale,42,0.1183479922455743,0.0055912733078002,0.0043562650680541,39.33411993821462,0.76235485
ImageNet-100 vs Non-Resale Data,non-resale,43,0.1024153176957419,0.0058735609054565,0.0066587924957275,39.94952611128488,0.7497544
ImageNet-100 vs Non-Resale Data,non-resale,5,0.1131339068264375,0.0049283504486083,0.003566026687622,39.650168637344514,0.76046616
ImageNet-100 vs Non-Resale Data,non-resale,6,0.1120728798987547,0.0037245750427246,0.003583550453186,39.5100901321529,0.760817
ImageNet-100 vs Non-Resale Data,non-resale,7,0.1096632301487623,0.0056968927383422,0.0050221681594848,39.39902000972205,0.7527421
ImageNet-100 vs Non-Resale Data,non-resale,8,0.1041797082799854,0.0048005580902099,0.0042810440063476,39.24117263620549,0.7680452
ImageNet-100 vs Non-Resale Data,non-resale,9,0.1052404129412615,0.0040278434753417,0.0036903619766235,39.41058464456113,0.7665737
