Average_SSIM_DINO,MMD_ViT,MMD_BLIP2,Wasserstein_Distance_BLIP2,Average_Cosine_Similarity_BLIP2,Label
0.0996114059437544,0.0062317848205566,0.004583716392517,39.883620834350545,0.7674488,0
0.3815931840870815,0.0288233757019042,0.086319088935852,27.51623073577881,0.5573071,1
0.1081078916429055,0.0035873651504516,0.0034233331680297,38.46312024831772,0.7550314,0
0.37213518910636,0.0765125751495361,0.0206663608551025,20.906038999557506,0.584952,1
0.8605131183514989,0.0457290410995483,0.0390444993972778,13.676055269241337,0.5812942,1
0.0962383098565168,0.0039031505584716,0.0035357475280761,39.39524806956653,0.75932217,0
1.0,0.0,0.0,0.0076822991855442,0.5854697,1
0.7719530015667,0.0647274255752563,0.0552366971969604,16.02184770584106,0.5737045,1
1.0,0.0,0.0,0.0076822991855442,0.5854697,1
0.1140785930116518,0.0042307376861572,0.0045932531356811,39.60553822153617,0.7510787,0
0.10598597162042,0.0067155361175537,0.0057663917541503,39.09463530858357,0.74145025,0
0.0978396241625222,0.0054794549942016,0.0039396286010742,39.083062553307435,0.76030827,0
0.1051342895931679,0.0068949460983276,0.0092270374298095,39.92144902681046,0.7536716,0
0.1077592233606089,0.0044679641723632,0.0047047138214111,39.03895034779781,0.7535353,0
0.1061284886842659,0.0040913820266723,0.0033626556396484,38.79034395060587,0.7602268,0
0.1266868831842277,0.0026521682739257,0.003616452217102,39.523348550212624,0.75170213,0
0.3309968826609804,0.0930835008621215,0.0894722938537597,24.56774188041687,0.57113606,1
0.1044588051665409,0.0056113004684448,0.0044353008270263,39.66158711180395,0.75707597,0
0.1001064403766728,0.0060541629791259,0.0053733587265014,39.881255357486694,0.75438577,0
0.1190717910372134,0.0045427083969116,0.0041462182998657,39.54535553332453,0.7560312,0
0.9638982983365496,0.0099188089370727,0.0318187475204467,11.977069835662844,0.5669804,1
0.3284529869629063,0.0889923572540283,0.0826579332351684,21.907911291122424,0.57698375,1
0.4094208363583768,0.0499850511550903,0.0659787654876709,16.705688610076905,0.5810062,1
1.0,0.0,0.0,0.0076822991855442,0.5854697,1
0.991457976970912,0.0020873546600341,0.0079524517059326,7.271311159133913,0.57836336,1
0.1024062629250927,0.0059268474578857,0.0067609548568725,39.84594827752362,0.74904877,0
0.9347493090761856,0.0059120655059814,0.0048755407333374,7.789921617507933,0.5875024,1
0.3563139451436388,0.1132422685623169,0.0944833755493164,25.803845796585072,0.5666613,1
0.341700511814421,0.1073631048202514,0.0941361188888549,25.30797368049621,0.5694292,1
0.3255281374989811,0.0887824296951294,0.0832616090774536,21.902685451507573,0.5767809,1
0.1113031292245567,0.0042204856872558,0.0028712749481201,38.73720508458661,0.75534695,0
0.1042904645129315,0.008725881576538,0.0051288604736328,39.13519257241105,0.757837,0
0.797974081410513,0.0591990947723388,0.0508804321289062,15.262500362396247,0.57566065,1
0.4022956125396545,0.0331655740737915,0.0327204465866088,24.71271911621094,0.58362037,1
0.3449852582690407,0.106887936592102,0.0930767059326171,25.139575567245487,0.5680881,1
0.9790360330041687,0.0054670572280883,0.0217095613479614,10.797131085395808,0.56945467,1
