function,description,gas_used,status,tx_hash
registerData,铸造NFT,250181,success,c868eb3db54c8183ce7335030ecd97cf31e4854201053357effe46dcfeffb673
purchaseNFT,购买NFT,72291,success,465f5c6bb389335d3f9374caf8dd67d030711bce5c71f17c0d3e9d663c1fc695
listNFT,上架NFT,70275,success,b7ccc467b1e5832d50a4e6a0f8fd3a07b472da042bea47b1277cb1dc9a1978b1
informerDeposit,举报保证金,49060,success,db030915d492f026ed57755c3de376d5c10f1f0c4a33f085cd6a219308c9ad4d
claimInformerSuccess,举报成功处理,45192,success,588b0c35993298ff5131173aedd219bc4bc247b304bb5d6f2a3c786d08f7574a
confiscateInformerDeposit,没收举报保证金,38637,success,94da046a3558c7df424ddf259883d95cdb8f0a405472b3176c4c558a10206399
withdrawListDeposit,退还保证金,35893,success,b731c7813881b7f49ee73c3a9c7578b652a4575fd0efe0a8c06199586ce68356
unlistNFT,下架NFT,30511,success,425213c834ad1e6872f09f7e044987977cbbceedc4d48f9f34df350372667504
